Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","Capacitor_0402",69.384947,-1.210030,180.000000,bottom
"C2","100nF","Capacitor_0402",69.384946,-3.960030,0.000000,bottom
"C3","100nF","Capacitor_0402",60.512443,-10.082530,90.000000,bottom
"C6","4.7uF","Capacitor_0402",59.529943,-10.082537,90.000000,bottom
"C7","100nF","Capacitor_0402",66.012446,2.162471,-90.000000,bottom
"C8","10nF","Capacitor_0402",69.384946,-4.960029,180.000000,bottom
"C9","1uF","Capacitor_0402",69.384947,-5.942529,180.000000,bottom
"C10","100nF","Capacitor_0402",58.539947,-0.287522,180.000000,bottom
"C11","4.7uF","Capacitor_0402",58.539949,0.694971,180.000000,bottom
"C12","1uF","Capacitor_0402",42.104943,0.954722,90.000000,bottom
"C13","1uF","Capacitor_0402",46.989943,0.003722,90.000000,bottom
"D1","D","D_0201_0603Metric",43.180000,-41.130000,90.000000,bottom
"D2","D","D_0201_0603Metric",62.230000,-41.130000,90.000000,bottom
"D3","D","D_0201_0603Metric",81.280000,-41.130000,90.000000,bottom
"D4","D","D_0201_0603Metric",100.330000,-41.130000,90.000000,bottom
"D5","D","D_0201_0603Metric",119.380000,-41.130000,90.000000,bottom
"D6","D","D_0201_0603Metric",138.430000,-41.130000,90.000000,bottom
"D7","D","D_0201_0603Metric",157.480000,-41.130000,90.000000,bottom
"D8","D","D_0201_0603Metric",176.530000,-41.130000,90.000000,bottom
"D9","D","D_0201_0603Metric",195.580000,-41.130000,90.000000,bottom
"D10","D","D_0201_0603Metric",214.630000,-41.130000,90.000000,bottom
"D11","D","D_0201_0603Metric",233.680000,-41.130000,90.000000,bottom
"D12","D","D_0201_0603Metric",252.730000,-41.130000,90.000000,bottom
"D13","D","D_0201_0603Metric",271.780000,-41.130000,90.000000,bottom
"D14","D","D_0201_0603Metric",290.830000,-41.130000,90.000000,bottom
"D15","D","D_0201_0603Metric",309.880000,-41.130000,90.000000,bottom
"D16","D","D_0201_0603Metric",328.930000,-41.130000,90.000000,bottom
"D17","D","D_0201_0603Metric",43.180000,-60.180000,90.000000,bottom
"D18","D","D_0201_0603Metric",62.230000,-60.180000,90.000000,bottom
"D19","D","D_0201_0603Metric",81.280000,-60.180000,90.000000,bottom
